threshold,%attacksdetected,TotalNumFP,f1,precision,recall
0.5,60.1990049751,126723,0.0019048369,0.0009539277,0.6019900498
0.5005005005,59.7014925373,126527,0.0018920283,0.0009475155,0.5970149254
0.501001001,59.7014925373,126315,0.0018951957,0.0009491043,0.5970149254
0.5015015015,59.2039800995,126151,0.0018818543,0.000942425,0.592039801
0.502002002,59.2039800995,125983,0.0018843575,0.0009436805,0.592039801
0.5025025025,59.2039800995,125836,0.0018865532,0.0009447819,0.592039801
0.503003003,59.2039800995,125651,0.0018893237,0.0009461716,0.592039801
0.5035035035,59.2039800995,125499,0.0018916062,0.0009473165,0.592039801
0.504004004,58.7064676617,125340,0.0018780987,0.0009405538,0.5870646766
0.5045045045,57.7114427861,125183,0.0018486056,0.0009257855,0.5771144279
0.505005005,57.2139303483,125016,0.0018351259,0.0009190368,0.5721393035
0.5055055055,57.2139303483,124844,0.0018376478,0.0009203019,0.5721393035
0.506006006,56.7164179104,124635,0.0018247299,0.000913835,0.5671641791
0.5065065065,55.7213930348,124480,0.0017949725,0.0008989341,0.5572139303
0.507007007,55.7213930348,124312,0.0017973922,0.0009001479,0.5572139303
0.5075075075,55.7213930348,124170,0.0017994425,0.0009011764,0.5572139303
0.508008008,55.7213930348,124043,0.0018012802,0.0009020982,0.5572139303
0.5085085085,55.7213930348,123899,0.0018033684,0.0009031457,0.5572139303
0.509009009,55.7213930348,123756,0.001805447,0.0009041883,0.5572139303
0.5095095095,55.223880597,123603,0.0017915507,0.0008972307,0.552238806
0.51001001,55.223880597,123461,0.001793606,0.0008982617,0.552238806
0.5105105105,55.223880597,123319,0.0017956661,0.0008992951,0.552238806
0.511011011,54.7263681592,123194,0.0017813044,0.0008921041,0.5472636816
0.5115115115,54.7263681592,123082,0.0017829212,0.0008929151,0.5472636816
0.512012012,54.2288557214,122961,0.0017684614,0.0008856748,0.5422885572
0.5125125125,54.2288557214,122807,0.0017706734,0.0008867845,0.5422885572
0.513013013,54.2288557214,122662,0.0017727613,0.0008878318,0.5422885572
0.5135135135,54.2288557214,122550,0.0017743773,0.0008886425,0.5422885572
0.514014014,54.2288557214,122405,0.0017764739,0.0008896942,0.5422885572
0.5145145145,53.7313432836,122253,0.0017623733,0.0008826342,0.5373134328
0.515015015,53.7313432836,122128,0.0017641726,0.0008835368,0.5373134328
0.5155155155,53.7313432836,122003,0.0017659755,0.0008844412,0.5373134328
0.516016016,53.7313432836,121882,0.0017677243,0.0008853185,0.5373134328
0.5165165165,53.7313432836,121725,0.0017699985,0.0008864593,0.5373134328
0.517017017,53.7313432836,121588,0.0017719878,0.0008874573,0.5373134328
0.5175175175,53.7313432836,121388,0.0017749,0.0008889182,0.5373134328
0.518018018,53.2338308458,121032,0.0017636394,0.0008832828,0.5323383085
0.5185185185,53.2338308458,120697,0.001768522,0.0008857323,0.5323383085
0.519019019,53.2338308458,120399,0.0017728881,0.0008879226,0.5323383085
0.5195195195,53.2338308458,120145,0.0017766266,0.0008897981,0.5323383085
0.52002002,53.2338308458,119902,0.001780218,0.0008915998,0.5323383085
0.5205205205,53.2338308458,119700,0.0017832145,0.0008931031,0.5323383085
0.521021021,53.2338308458,119523,0.0017858484,0.0008944245,0.5323383085
0.5215215215,53.2338308458,119330,0.0017887293,0.0008958698,0.5323383085
0.522022022,52.736318408,119098,0.00177547,0.0008892319,0.5273631841
0.5225225225,52.736318408,118736,0.0017808691,0.0008919406,0.5273631841
0.523023023,52.736318408,118294,0.001787506,0.0008952703,0.5273631841
0.5235235235,52.736318408,118041,0.0017913273,0.0008971874,0.5273631841
0.524024024,52.736318408,117846,0.0017942837,0.0008986706,0.5273631841
0.5245245245,52.736318408,117684,0.0017967472,0.0008999066,0.5273631841
0.525025025,52.736318408,117555,0.0017987137,0.0009008932,0.5273631841
0.5255255255,52.736318408,117451,0.0018003023,0.0009016902,0.5273631841
0.526026026,52.736318408,117340,0.0018020009,0.0009025424,0.5273631841
0.5265265265,52.736318408,117240,0.0018035339,0.0009033116,0.5273631841
0.527027027,52.736318408,117137,0.0018051156,0.0009041051,0.5273631841
0.5275275275,52.736318408,117042,0.001806577,0.0009048383,0.5273631841
0.528028028,52.736318408,116925,0.00180838,0.0009057429,0.5273631841
0.5285285285,52.736318408,116788,0.0018104958,0.0009068045,0.5273631841
0.529029029,52.736318408,116690,0.0018120123,0.0009075653,0.5273631841
0.5295295295,52.736318408,116582,0.0018136865,0.0009084053,0.5273631841
0.53003003,52.736318408,116459,0.001815597,0.0009093639,0.5273631841
0.5305305305,52.736318408,116333,0.0018175583,0.0009103479,0.5273631841
0.531031031,52.736318408,116208,0.0018195082,0.0009113262,0.5273631841
0.5315315315,52.736318408,116109,0.0018210555,0.0009121026,0.5273631841
0.532032032,52.736318408,115980,0.0018230757,0.0009131161,0.5273631841
0.5325325325,52.736318408,115877,0.0018246919,0.000913927,0.5273631841
0.533033033,52.736318408,115774,0.0018263109,0.0009147394,0.5273631841
0.5335335335,52.736318408,115680,0.001827791,0.000915482,0.5273631841
0.534034034,52.736318408,115575,0.0018294472,0.000916313,0.5273631841
0.5345345345,52.736318408,115485,0.0018308691,0.0009170264,0.5273631841
0.535035035,52.736318408,115383,0.0018324834,0.0009178363,0.5273631841
0.5355355355,52.736318408,115307,0.001833688,0.0009184407,0.5273631841
0.536036036,52.736318408,115211,0.0018352118,0.0009192053,0.5273631841
0.5365365365,52.736318408,115113,0.0018367701,0.0009199872,0.5273631841
0.537037037,52.736318408,115011,0.0018383947,0.0009208023,0.5273631841
