color,ablated,f1
r,All,0.36
b,Ethernet_size,0.36
b,Ethernet_dstHi,0.36103151862464183
b,Ethernet_dstLow,0.36627906976744184
b,Ethernet_srcHi,0.36627906976744184
b,Ethernet_srcLow,0.37278106508875736
b,Ethernet_type,0.37278106508875736
b,IPv4_ihl,0.38181818181818183
b,IPv4_tos,0.38943894389438943
b,IPv4_length,0.3839009287925696
b,IPv4_id,0.3839009287925696
b,IPv4_offset,0.3741935483870968
b,IPv4_ttl,0.24404761904761907
b,IPv4_proto,0.24404761904761907
b,IPv4_chksum,0.23353293413173654
b,IPv4_src,0.16
b,IPv4_dst,0.14814814814814814
b,ICMP_type,0.14814814814814814
b,ICMP_code,0.14814814814814814
b,ICMP_chksum,0.14814814814814814
b,TCP_sport,0.14814814814814814
b,TCP_dport,0.14814814814814814
b,TCP_seqNo,0.14814814814814814
b,TCP_ackNo,0.14814814814814814
b,TCP_dataOffset,0.15
b,TCP_flags,0.10135135135135134
b,TCP_window,0.09621993127147765
b,TCP_chksum,0.09621993127147765
b,TCP_urgPtr,0.07003891050583658
b,TCP_options,0.10483870967741934
b,UDP_sport,0.1056910569105691
b,UDP_dport,0.09205020920502094
b,UDP_length,0.03864734299516908
b,UDP_chksum,0.03864734299516908
