precision,recall
0.0009539277,0.6019900498
0.0009475155,0.5970149254
0.0009491043,0.5970149254
0.000942425,0.592039801
0.0009436805,0.592039801
0.0009447819,0.592039801
0.0009461716,0.592039801
0.0009473165,0.592039801
0.0009405538,0.5870646766
0.0009257855,0.5771144279
0.0009190368,0.5721393035
0.0009203019,0.5721393035
0.000913835,0.5671641791
0.0008989341,0.5572139303
0.0009001479,0.5572139303
0.0009011764,0.5572139303
0.0009020982,0.5572139303
0.0009031457,0.5572139303
0.0009041883,0.5572139303
0.0008972307,0.552238806
0.0008982617,0.552238806
0.0008992951,0.552238806
0.0008921041,0.5472636816
0.0008929151,0.5472636816
0.0008856748,0.5422885572
0.0008867845,0.5422885572
0.0008878318,0.5422885572
0.0008886425,0.5422885572
0.0008896942,0.5422885572
0.0008826342,0.5373134328
0.0008835368,0.5373134328
0.0008844412,0.5373134328
0.0008853185,0.5373134328
0.0008864593,0.5373134328
0.0008874573,0.5373134328
0.0008889182,0.5373134328
0.0008832828,0.5323383085
0.0008857323,0.5323383085
0.0008879226,0.5323383085
0.0008897981,0.5323383085
0.0008915998,0.5323383085
0.0008931031,0.5323383085
0.0008944245,0.5323383085
0.0008958698,0.5323383085
0.0008892319,0.5273631841
0.0008919406,0.5273631841
0.0008952703,0.5273631841
0.0008971874,0.5273631841
0.0008986706,0.5273631841
0.0008999066,0.5273631841
0.0009008932,0.5273631841
0.0009016902,0.5273631841
0.0009025424,0.5273631841
0.0009033116,0.5273631841
0.0009041051,0.5273631841
0.0009048383,0.5273631841
0.0009057429,0.5273631841
0.0009068045,0.5273631841
0.0009075653,0.5273631841
0.0009084053,0.5273631841
0.0009093639,0.5273631841
0.0009103479,0.5273631841
0.0009113262,0.5273631841
0.0009121026,0.5273631841
0.0009131161,0.5273631841
0.000913927,0.5273631841
0.0009147394,0.5273631841
0.000915482,0.5273631841
0.000916313,0.5273631841
0.0009170264,0.5273631841
0.0009178363,0.5273631841
0.0009184407,0.5273631841
0.0009192053,0.5273631841
0.0009199872,0.5273631841
0.0009208023,0.5273631841
0.0009215949,0.5273631841
0.0009225092,0.5273631841
0.0009146899,0.5223880597
0.0009155593,0.5223880597
0.0009163743,0.5223880597
0.0009171507,0.5223880597
0.0009179044,0.5223880597
0.0009187959,0.5223880597
0.0009196328,0.5223880597
0.0009205601,0.5223880597
0.0009216509,0.5223880597
0.000922493,0.5223880597
0.0009233042,0.5223880597
0.0009242063,0.5223880597
0.000916348,0.5174129353
0.0009171399,0.5174129353
0.0009180062,0.5174129353
0.0009187441,0.5174129353
0.0009198412,0.5174129353
0.0009206391,0.5174129353
0.000921512,0.5174129353
0.0009223783,0.5174129353
0.000923361,0.5174129353
0.0009155474,0.5124378109
0.0009165006,0.5124378109
0.0009175538,0.5124378109
0.0009185848,0.5124378109
0.0009196182,0.5124378109
0.0009206869,0.5124378109
0.0009127272,0.5074626866
0.0009136919,0.5074626866
0.0009146341,0.5074626866
0.0009154961,0.5074626866
0.0009165491,0.5074626866
0.0009178109,0.5074626866
0.0009187865,0.5074626866
0.0009197807,0.5074626866
0.0009207937,0.5074626866
0.0009221256,0.5074626866
0.000923244,0.5074626866
0.0009243568,0.5074626866
0.0009254891,0.5074626866
0.0009266409,0.5074626866
0.0009278125,0.5074626866
0.0009287334,0.5074626866
0.0009297323,0.5074626866
0.0009310222,0.5074626866
0.0009323668,0.5074626866
0.0009335188,0.5074626866
0.0009346394,0.5074626866
0.0009357455,0.5074626866
0.0009367165,0.5074626866
0.0009421675,0.5074626866
0.0009438764,0.5074626866
0.0009481404,0.5074626866
0.0009494378,0.5074626866
0.0009514393,0.5074626866
0.0009564353,0.5074626866
0.0009582323,0.5074626866
0.0009505972,0.5024875622
0.0009521296,0.5024875622
0.0009536579,0.5024875622
0.0009457517,0.4975124378
0.0009479572,0.4975124378
0.0009494332,0.4975124378
0.0009510676,0.4975124378
0.0009527348,0.4975124378
0.0009543624,0.4975124378
0.0009560595,0.4975124378
0.0009577443,0.4975124378
0.0009591314,0.4975124378
0.0009608363,0.4975124378
0.0009530411,0.4925373134
0.000954769,0.4925373134
0.0009563185,0.4925373134
0.0009579007,0.4925373134
0.0009595906,0.4925373134
0.0009519092,0.4875621891
0.0009536414,0.4875621891
0.0009554916,0.4875621891
0.0009574894,0.4875621891
0.0009595989,0.4875621891
0.0009617555,0.4875621891
0.0009636185,0.4875621891
0.0009653841,0.4875621891
0.0009671753,0.4875621891
0.0009691552,0.4875621891
0.0009714031,0.4875621891
0.0009733133,0.4875621891
0.0009657603,0.4825870647
0.0009680349,0.4825870647
0.0009701746,0.4825870647
0.0009725091,0.4825870647
0.0009747372,0.4825870647
0.0009769953,0.4825870647
0.0009793429,0.4825870647
0.0009817814,0.4825870647
0.000984262,0.4825870647
0.0009867852,0.4825870647
0.0009892004,0.4825870647
0.0009917998,0.4825870647
